202tabanP;2021tabanY;2022tabanP;2022tabanY;2023tabanP;2023tabanY
424,6076;2,86;449,9007;2,83;471,7366;2,64
424,08;2,91;449,8063;2,84;471,6102;2,69
424,0249;2,92;449,7866;2,84;471,6102;2,69
423,8721;2,93;449,3851;2,89;471,5623;2,74
423,7228;2,94;449,2399;2,9;471,529;2,77
423,5884;2,95;449,0946;2,92;471,4363;2,77
423,5884;2,95;448,5063;2,98;471,4363;2,77
423,3349;2,98;448,4958;2,98;471,2615;2,05
423,1998;2,99;448,1915;3,02;471,2615;2,85
423,1094;3;448,0532;3,04;471,2336;2,85
423;3,04;447,8651;3,06;471,1355;2,86
422,6496;3,04;447,8136;3,06;470,9351;2,88
422,5381;3,05;447,4182;3,11;470,9231;2,88
422,2397;3,08;447,1108;3,14;470,8441;2,89
422,2005;3,09;446,9443;3,16;470,1472;2,95
422,0464;3,1;446,8764;3,16;469,8061;2,98
421,9109;3,11;446,8141;3,17;469,6797;3
421,8229;3,12;446,8049;3,17;469,6797;3
421,6127;3,14;446,8046;3,18;469,6313;3,01
421,6085;3,14;446,6843;3,19;469,6203;3,01
421,6077;3,14;446,5906;3,19;469,5053;3,03
421,6032;3,14;446,3956;3,22;469,467;3,04
421,4656;3,16;446,1598;3,25;469,4104;3,05
421,2684;3,18;445,9936;3,27;469,3785;3,05
421,2127;3,18;445,9694;3,27;469,3785;3,05
421,1161;3,19;445,9156;3,27;469,3785;3,05
420,8693;3,22;445,8924;3,28;469,3544;3,07
420,6121;3,24;445,8125;3,29;469,3402;3,07
420,6064;3,24;445,8017;3,29;469,2515;3,09
420,6007;3,24;445,6381;3,31;469,2042;3,1
420,5644;3,25;445,6154;3,31;469,0777;3,15
420,2333;3,28;445,2808;3,34;469,0298;3,18
419,8315;3,32;445;3,42;468,9381;3,2
419,7627;3,33;444,8945;3,39;468,9038;3,2
419,6922;3,34;444,8658;3,39;468,9038;3,2
419,4865;3,36;444,8655;3,39;468,9038;3,2
419,2451;3,38;444,8655;3,39;468,9038;3,2
419,2333;3,38;444,6594;3,42;468,7774;3,24
418,9461;3,41;444,4698;3,44;468,644;3,27
418,9183;3,42;444,4483;3,45;468,6002;3,29
418,4683;3,46;444,3492;3,46;468,5321;3,29
418,0431;3,51;444,2813;3,46;468,422;3,3
417,9473;3,51;444,2531;3,47;467,8058;3,34
417,8268;3,53;444,2326;3,47;467,68;3,35
417,7959;3,53;444,2067;3,47;467,6571;3,35
417,7504;3,54;444,1993;3,47;467,4577;3,39
417,6396;3,55;444;3,45;467,3563;3,41
417,4451;3,57;443,8536;3,52;467,3182;3,41
417,2068;3,59;443,7873;3,53;467,2615;3,42
416,7844;3,63;443,6008;3,54;466,9821;3,46
416,7713;3,63;443,4859;3,56;466,8557;3,48
416,6949;3,64;443,4358;3,57;466,8409;3,49
416,5573;3,66;443,2679;3,58;466,8078;3,49
416,5538;3,66;443,2225;3,59;466,7145;3,5
416,4892;3,67;443,1152;3,61;466,7145;3,5
416,3051;3,69;443,1009;3,61;466,6714;3,51
416,2254;3,7;443,0356;3,62;466,4989;3,55
415,8534;3,73;443;3,6;466,4971;3,55
415,5866;3,76;442,7737;3,65;466,4137;3,56
415,5291;3,77;442,6387;3,66;466,4137;3,56
415,1748;3,8;442,5593;3,67;466,4137;3,56
415,1174;3,81;442,3442;3,69;466,3657;3,58
415,1133;3,81;442,2778;3,7;466,2393;3,6
415,1096;3,81;442,1118;3,72;466,2393;3,6
415,0842;3,81;442,0957;3,72;466,2393;3,6
414,9739;3,82;441,8604;3,75;466,2393;3,6
414,6708;3,85;441,5968;3,78;466,1129;3,64
414,5279;3,87;441,5789;3,78;466,1129;3,64
414,4349;3,88;441,5161;3,79;466,1129;3,64
414,2315;3,9;441,1928;3,83;466,1129;3,64
414,1964;3,9;441,1837;3,83;466,0677;3,67
414,0473;3,92;441,1553;3,84;466,0645;3,67
414;3,91;440,8787;3,87;465,9385;3,7
413,7892;3,95;440,8251;3,88;465,9385;3,7
413,7487;3,95;440,7787;3,89;465,9385;3,7
413,7244;3,96;440,6467;3,9;465,9385;3,7
413,7013;3,96;440,6002;3,9;465,8121;3,75
413,4088;3,99;440,0819;3,97;465,8121;3,75
413,3405;4;440;3,93;465,6382;3,8
412,8571;4,05;440;3,93;465,495;3,84
412,7007;4,07;440;4,01;465,4634;3,84
412,6518;4,08;439,8989;3,99;465,4634;3,84
412,5545;4,09;439,5493;4,03;465,419;3,84
412,5395;4,09;439,5121;4,04;465,3104;3,86
412,4876;4,1;439,4833;4,04;465,0944;3,88
412,1595;4,13;439,4373;4,04;464,583;3,94
412,1535;4,13;439,4116;4,05;464,4472;3,96
411,9621;4,15;439,2843;4,06;464,323;3,97
411,3234;4,22;439;4,07;464,1029;3,99
411,0613;4,25;438,8479;4,12;464,0125;4,01
411;4,25;438,8354;4,12;464,008;4,01
410,9978;4,26;438,7809;4,13;463,8332;4,05
410,9455;4,26;438,5806;4,15;463,8332;4,05
410,5924;4,3;438,3839;4,17;463,8332;4,05
410;4,33;438,3106;4,18;463,7068;4,07
409,89;4,38;437,9062;4,23;463,7068;4,07
409,8818;4,38;437,8883;4,24;463,7044;4,09
409,8806;4,38;437,6099;4,27;463,5901;4,1
409,5734;4,42;437,5476;4,28;463,5901;4,1
409,5434;4,42;437,5295;4,28;463,53;4,15
409,3785;4,44;437,3928;4,3;463,5014;4,15
409,3389;4,44;437,3263;4,3;463,5014;4,15
409,2485;4,46;437,3237;4,3;463,4982;4,15
409;4,52;437,2334;4,32;463,4032;4,19
408,8425;4,51;437;4,35;463,3597;4,19
408,8425;4,51;436,9148;4,36;463,2317;4,22
408,8425;4,51;436,7324;4,38;463,2038;4,24
408,7524;4,52;436,5506;4,4;463,0277;4,27
408,6958;4,53;436,2649;4,44;463,0077;4,27
408,6459;4,53;436,1869;4,45;462,9789;4,27
408,5247;4,55;435,9548;4,48;462,4927;4,32
408,3705;4,56;435,9489;4,48;462,4617;4,32
408,3599;4,56;435,6526;4,52;462,3206;4,33
408,2915;4,57;435,3843;4,55;462,2416;4,34
408,2184;4,58;434,9144;4,61;462,241;4,34
408,0209;4,6;434,7277;4,63;462,1391;4,35
407,9902;4,61;434,6708;4,64;461,9854;4,38
407,8409;4,63;434,6028;4,65;461,9643;4,38
407,7126;4,64;434,5129;4,66;461,9235;4,39
407,6972;4,64;434,1855;4,71;461,9145;4,39
