202tabanP;2021tabanY;2022tabanP;2022tabanY;2023tabanP;2023tabanY
373,5827;9,7;402,7336;9,46;435,3959;9,12
373,5188;9,71;402,6401;9,48;435,3953;9,12
373,4466;9,73;402,3764;9,52;435,3452;9,13
373,1783;9,77;402,3701;9,52;435,1142;9,18
373,1334;9,78;402,3319;9,53;435,0565;9,19
373,0761;9,79;402,1988;9,55;434,9485;9,21
373;9,76;402,1409;9,56;434,9302;9,21
373;9,83;402;9,54;434,9112;9,22
372,9651;9,81;401,9015;9,6;434,8419;9,23
372,9333;9,81;401,8903;9,61;434,7193;9,25
372,7916;9,83;401,7995;9,62;434,6172;9,27
372,7162;9,85;401,6855;9,64;434,5314;9,28
372,6448;9,86;401,6738;9,64;434,5313;9,28
372,5945;9,87;401,6648;9,64;433,9875;9,36
372,5144;9,88;401,5772;9,66;433,8915;9,38
372,4775;9,89;401,5729;9,66;433,8325;9,39
372,2261;9,93;401,5351;9,66;433,7089;9,41
372,2054;9,94;401,5022;9,67;433,5126;9,45
372,16;9,95;401,3807;9,69;433,4089;9,47
371,7864;10,01;401,1853;9,73;433,3071;9,48
371,7835;10,01;401,0905;9,74;433,2115;9,5
371,7535;10,02;401,0413;9,75;433,0174;9,53
371,6011;10,04;400,8955;9,77;432,8632;9,56
371,4502;10,07;400,6792;9,81;432,7343;9,58
371,3526;10,09;400,3452;9,87;432,7339;9,58
371,3484;10,09;400,2523;9,88;432,7227;9,58
371,3245;10,09;400,2473;9,89;432,6835;9,59
371,0079;10,15;400,1207;9,91;432,6796;9,59
371;10,14;400,0412;9,92;432,6757;9,59
370,9785;10,15;399,9426;9,94;432,5719;9,61
370,9568;10,15;399,6067;10;432,5719;9,61
370,8376;10,18;399,5725;10,01;432,4618;9,63
370,8176;10,18;399,3228;10,05;432,3855;9,65
370,5174;10,24;399,3171;10,05;432,2563;9,68
370,5081;10,24;399,2284;10,06;432,2137;9,68
370,3986;10,26;399,0413;10,1;432,1349;9,7
370,2305;10,29;398,8446;10,13;432,0941;9,7
370,0014;10,33;398,7121;10,15;431,9833;9,73
369,9155;10,35;398,5451;10,18;431,8587;9,75
369,8902;10,35;398,4417;10,2;431,8109;9,76
369,8467;10,36;398,3882;10,21;431,8028;9,76
369,5151;10,42;398,3832;10,21;431,4113;9,82
369,3984;10,44;398,3141;10,22;431,315;9,84
369,3499;10,45;398,3102;10,22;431,2427;9,85
369;10,57;398;10,28;431,142;9,87
368,8964;10,53;397,8382;10,3;431,1389;9,87
368,4068;10,62;397,7233;10,33;431,0125;9,89
368,2446;10,64;397,5006;10,37;430,8221;9,92
368,2228;10,65;397,4992;10,37;430,7901;9,93
368,1927;10,65;397,4509;10,38;430,6354;9,96
368,0716;10,68;396,9911;10,46;430,2807;10,02
368,0394;10,68;396,9898;10,46;430,153;10,04
367,7654;10,73;396,9415;10,47;429,8502;10,09
367,6955;10,74;396,7117;10,51;429,7178;10,11
367,6617;10,75;396,5888;10,53;429,6998;10,11
367,5559;10,77;396,5629;10,53;429,6071;10,13
367,5381;10,77;396,5405;10,54;429,6071;10,13
367,0918;10,85;396,5339;10,54;429,5978;10,13
367,0693;10,86;396,3961;10,56;429,5447;10,14
366,9077;10,89;396,1708;10,61;429,4384;10,16
366,5752;10,95;396,0863;10,62;429,4062;10,17
366,5387;10,96;396,0733;10,62;429,2248;10,2
366,4867;10,96;396,0649;10,62;429,1702;7,96
366,4013;10,98;396;10,67;429,0669;10,23
366,2299;11,01;396;10,68;429,0365;10,23
366;11,02;395,9752;10,64;428,8264;10,26
365,9828;11,06;395,8286;10,66;428,7828;10,27
365,9802;11,06;395,7422;10,67;428,7429;10,28
365,8905;11,07;395,5178;10,72;428,6547;10,29
365,7212;11,11;395,3582;10,75;428,5048;10,31
365,4146;11,16;395,1859;10,78;428,3654;10,34
365,2417;11,19;395,1367;10,78;427,7829;10,43
365,0729;11,22;395,1356;10,79;427,7259;10,44
364,9267;11,25;395,1332;10,79;427,6663;10,45
364,9262;11,25;394,9674;10,81;427,5937;10,46
364,9091;11,26;394,9636;10,82;427,5752;10,47
364,8804;11,26;394,9425;10,82;427,521;10,48
364,8015;11,28;394,8273;10,84;427,3175;10,51
364,5987;11,32;394,8194;10,84;427,1699;10,54
364,4991;11,34;394,7217;10,86;427,0931;10,55
364,4957;11,34;394,6458;10,87;426,9912;10,57
364,4302;11,35;394,63;10,88;426,807;10,6
364,3002;11,37;394,6244;10,88;426,417;10,67
364,0231;11,43;394,5193;10,9;426,3155;10,69
364;11,37;394,4038;10,92;426,312;10,69
363,8867;11,45;394,0224;10,99;425,9451;10,75
363,7602;11,47;394,0204;10,99;425,9159;10,76
363,7546;11,47;393,9073;11,01;425,776;10,78
363,5493;11,51;393,6526;11,05;425,7511;10,79
363,3527;11,55;393,5294;11,08;425,7374;10,79
363,2003;11,58;393,4813;11,09;425,5706;10,81
363;11,53;393,4419;11,09;425,4922;10,83
363;11,62;393,2465;11,13;425,4715;10,83
363;11,71;393,1755;11,14;425,4509;10,84
362,6622;11,68;393,1461;11,14;425,421;10,84
362,5964;11,69;393;11,23;425,3675;10,85
362,5541;11,7;392,7855;11,21;425,2792;10,87
362,3931;11,73;392,5725;11,25;425,1089;10,9
362,1335;11,79;392,45;11,27;425,0428;10,91
362,0656;11,8;392,3337;11,29;424,902;10,94
361,9982;11,81;392,1987;11,31;424,6551;10,98
361,9315;11,82;392,0814;11,33;424,5986;10,99
361,7558;11,86;391,8474;11,37;424,5156;11
361,6013;11,89;391,8472;11,37;424,427;11,02
361,5333;11,9;391,8186;11,37;424,4009;11,02
361,5275;11,9;391,6512;11,41;424,3866;11,02
361,4477;11,92;391,6379;11,41;424,3218;11,04
361,4096;11,92;391,6242;11,41;424,2738;11,04
361,3249;11,94;391,3964;11,45;423,844;11,12
361,3207;11,94;391,1046;11,5;423,8419;11,12
361,2721;11,95;391,0922;11,51;423,8294;11,13
361,0296;12;391,0205;11,52;423,739;11,14
360,9793;12,01;391;11,58;423,7049;11,15
360,9324;12,02;390,9966;11,52;423,3888;11,2
360,9277;12,02;390,9683;11,53;423,1904;11,24
360,6035;12,08;390,7171;11,58;423,1891;11,24
360,5782;12,08;390,6453;11,59;423,1814;11,24
360,4696;12,1;390,5993;11,6;423,1046;11,25
359,9826;12,19;390,5497;11,61;422,9951;11,26
359,9412;12,2;390,4423;11,63;422,7603;8,45
359,9067;12,21;390,4174;11,64;422,6327;11,33
359,6969;12,25;390,3885;11,64;422,4801;11,35
359,4781;12,29;390,3826;11,64;422,4571;11,36
359,2651;12,33;390,0337;11,71;422,2839;11,39
359,1298;12,36;389,8616;11,75;422,2665;11,39
358,8731;12,41;389,7224;11,77;422,2645;11,39
358,7452;12,43;389,6584;11,78;422,2067;9,23
358,6475;12,45;389,6412;11,79;422,1732;11,41
358,5457;12,47;389,4875;11,82;422,1719;9,05
358,2973;12,52;389,3631;11,84;422,1607;11,41
358,2112;12,54;389,3133;11,85;422,0905;11,42
358,1196;12,56;389,2954;11,85;421,8875;11,46
358,1008;12,56;389,1993;11,87;421,8514;11,47
358;12,5;389,1771;11,88;421,8415;11,47
358;12,63;389,0414;11,9;421,768;11,48
357,7925;12,62;388,9556;11,92;421,6989;11,49
357,7559;12,63;388,94;11,92;421,6573;11,5
357,6495;12,65;388,8718;11,93;421,5524;11,52
357,5338;12,67;388,4957;12;421,5485;11,52
357,5329;12,67;388,4762;12,01;421,312;9,13
357,3679;12,7;388,2235;12,06;421,1605;11,58
357,3422;12,71;388,0617;12,09;421,1353;11,59
357,1781;12,74;387,9745;12,11;421,0482;11,6
357,1318;12,75;387,9359;12,11;420,9135;11,62
357,0875;12,76;387,9066;12,12;420,9129;11,62
357,0666;12,77;387,8547;12,13;420,8689;11,63
356,8503;12,81;387,7198;12,15;420,7843;11,65
356,7263;12,83;387,6067;12,18;420,7077;11,66
356,7005;12,84;387,5641;12,18;420,6798;11,67
356,6146;12,85;387,5493;12,19;420,6783;11,67
356,5827;12,86;387,5097;12,19;420,6276;11,68
356,4885;12,87;387,4604;12,2;420,6131;11,68
356,4585;12,88;387,3018;12,23;420,2562;11,74
356,3975;12,89;387,1262;12,26;420,1877;11,75
356,2576;12,92;387,0524;12,28;420,172;11,75
356,1541;12,94;387,0431;12,29;420,1288;11,76
356,1246;12,94;387;12,2;420,0104;11,78
355,6777;13,03;387;12,25;419,5396;11,86
355,5233;13,06;387;12,36;419,4982;11,87
355,4329;13,08;386,9065;12,31;419,4873;11,87
355,3132;13,1;386,8515;12,32;419,4539;11,48
355,2045;13,13;386,8482;12,32;419,146;11,94
355,1812;13,13;386,7501;12,34;419,1421;11,94
355,0277;13,17;386,6751;12,36;419,0043;11,96
354,9782;13,18;386,6114;12,37;418,8049;12
354,9669;13,18;386,3725;12,42;418,6173;12,03
354,9347;13,19;386,1847;12,46;418,4662;12,06
354,8164;13,21;386,0446;12,49;418,4333;12,06
354,7886;13,21;385,7239;12,55;418,4107;12,07
354,7546;13,22;385,6033;12,57;418,3842;12,07
354,5993;13,25;385,5348;12,58;418,263;12,09
354,5396;13,26;385,5319;12,58;418,1868;12,11
354,2287;13,33;385,5026;12,59;418,1172;12,12
354,1807;13,34;385,3919;12,61;417,8077;12,17
354,0554;13,36;385,2342;12,64;417,7277;12,19
354;13,37;385,2058;12,65;417,6122;7,96
353,7911;13,41;385,1959;12,65;417,6111;12,2
353,7279;13,42;384,7715;12,73;417,5979;12,21
353,6514;13,44;384,5311;12,78;417,5376;12,22
353,6066;13,45;384,3601;12,81;417,4875;12,22
353,0249;13,56;384,2752;12,83;417,3709;12,24
353,0039;13,57;384,1712;12,85;417,2364;12,27
352,9727;13,57;384,1511;12,85;417,2172;12,27
352,4413;13,68;384,1201;12,86;417,0876;12,29
352,4214;13,68;384,0311;12,88;416,9727;12,31
352,1607;13,74;384;12,88;416,9464;12,32
352;13,86;384;12,91;416,9119;12,32
351,9246;13,78;383,7292;12,94;416,8814;12,33
351,7945;13,81;383,7108;12,94;416,6179;12,37
351,7284;13,82;383,6881;12,95;416,4058;12,41
351,6882;13,83;383,6713;12,95;416,3285;12,42
351,4776;13,87;383,5493;12,97;416,0122;12,48
351,4328;13,88;383,4093;13;415,8456;12,51
351,0704;13,96;383,1692;13,05;415,4631;12,58
351,0427;13,97;383,1092;13,06;415,3204;12,6
351;13,91;383;13,16;415,1883;12,63
351;13,94;382,9895;13,08;414,9522;12,67
350,9725;13,98;382,8382;13,11;414,8262;12,69
350,9342;13,99;382,7674;13,13;414,7474;12,7
350,9333;13,99;382,4814;13,18;414,7202;12,7
350,8805;14;382,4745;13,18;414,6018;12,73
350,7961;14,02;382,0375;13,27;414,4845;12,74
350,7089;14,03;381,9288;13,29;414,3523;12,77
350,6642;14,04;381,5798;13,36;414,2978;12,78
350,6359;14,05;381,2194;13,43;414,0023;12,82
350;14,13;381,1017;13,46;413,8284;12,85
350;14,27;381,0285;13,47;413,7119;12,87
350;14,28;381;13,53;413,5831;12,9
349,8196;14,22;380,9093;13,5;413,5222;12,91
349,3174;14,33;380,7706;13,53;413,275;12,95
349,2872;14,34;380,7329;13,53;413,2556;12,95
349,1851;14,36;380,6918;13,54;413,2247;12,96
349,1562;14,37;380,5382;13,57;413,1959;12,96
349,1508;14,37;380,4593;13,59;412,9668;13
349;14,47;380,3491;13,61;412,8852;13,02
348,9289;14,42;380,3234;13,62;412,8516;13,02
348,8136;14,45;380,3185;13,62;412,4105;13,1
348,7625;14,46;380,2744;13,63;412,3568;13,11
348,6598;14,48;380,2507;13,63;412,226;13,13
348,6329;14,49;380,2435;13,63;412,1633;13,14
348,5793;14,5;380,0809;13,67;411,998;13,17
348,5386;14,51;380,0386;13,67;411,9907;13,17
348,5006;14,52;380;13,66;411,7518;13,21
348,4834;14,52;379,6992;13,74;411,6827;13,22
348,2585;14,57;379,6161;13,76;411,6686;13,22
348,2252;14,57;379,5685;13,77;411,5248;13,25
347,9645;14,63;379,3106;13,82;411,5089;13,25
347,4805;14,74;379,3088;13,82;411,4714;13,26
347,39;14,76;379,0915;13,86;411,4674;11,35
347,3839;14,76;379,0198;13,88;411,3238;7,96
347,2755;14,78;379;13,97;411,2851;13,29
347,2345;14,79;379;13,97;410,9897;13,34
347,1814;14,8;378,9348;13,89;410,8452;13,37
347,0221;14,83;378,7387;13,93;410,7897;13,38
347;14,87;378,7177;13,94;410,7456;7,96
346,7525;14,89;378,4051;14;410,6906;13,4
346,5265;14,94;378,3969;14;410,5971;13,41
346,4141;14,96;378,2786;14,03;410,5525;13,42
346,3971;14,97;378,2777;14,03;410,5266;13,42
346,0412;15,04;378,1684;14,05;410,5145;13,43
345,9939;15,05;378,0751;14,07;410,4699;13,44
345,8267;15,09;378,0088;14,08;410,1707;13,49
345,7885;15,1;377,9441;14,1;409,97;13,52
345,7882;15,1;377,9223;14,1;409,9457;13,53
345,7764;15,11;377,8998;14,11;409,8563;13,54
345,1225;15,24;377,8331;14,12;409,8287;13,55
345;15,26;377,3194;14,23;409,7347;13,57
345;15,36;377,0879;14,28;409,5256;13,6
344,9672;15,28;377;14,2;409,4288;13,62
344,8144;15,31;376,9236;14,31;409,3856;13,63
344,5665;15,37;376,7381;14,35;409,2454;13,65
344,5108;15,38;376,3995;14,42;408,9726;13,71
344,4491;15,39;376,1666;14,47;408,9354;13,71
344,3663;15,41;376,1243;14,48;408,6209;13,77
344,2461;15,43;376;14,45;408,5098;13,79
344,1899;15,45;375,9501;14,52;408,5085;13,79
344,0819;15,47;375,9204;14,52;408,2666;13,83
343,4402;15,61;375,7652;14,55;408,1729;13,85
343,2867;15,65;375,3381;14,64;407,9003;13,9
343,0645;15,7;375,3241;14,64;407,8539;13,9
342,9166;15,73;375,3072;14,65;407,8366;13,91
342,7619;15,76;375,1362;14,68;407,7936;13,91
342,7268;15,77;375,1241;14,69;407,7804;13,92
342,5628;15,81;374,9248;14,73;407,7555;13,92
342,4071;15,84;374,8464;14,74;407,4569;13,97
342,3361;15,86;374,6488;14,78;407,4334;13,98
342,3197;15,86;374,6021;14,79;407,2574;13,44
342,2527;15,88;374,5911;14,8;407,2447;12,7
342,2376;15,88;374,4859;14,82;407,2361;14,01
342,1823;15,89;374,4161;14,83;407,2139;14,02
342,1389;15,9;374,2545;14,87;407,1631;14,03
342,0686;15,92;374,2447;14,87;406,9758;14,06
342,0296;15,92;374,2311;14,87;406,8461;14,08
342;16,03;374,0735;14,9;406,6588;14,12
341,9273;15,95;374;14,88;406,6574;14,12
341,8379;15,97;373,9475;14,93;406,6422;14,12
341,6555;16,01;373,8282;14,96;406,3997;14,17
341,5986;16,02;373,4296;15,04;406,178;14,21
341,2447;16,1;373,1345;15,1;406,1523;14,21
341,0359;16,15;373,1068;15,1;405,9868;14,24
341,0201;16,16;372,9962;15,13;405,9132;14,25
340,9721;16,17;372,4366;15,24;405,3271;14,36
340,4613;16,27;372,39;15,25;405,3153;14,36
340,4192;16,28;372,2496;15,28;405,2684;14,37
340,2896;16,31;372,1042;15,32;405,2087;14,38
340,2376;16,32;372,0286;15,33;405,0635;14,41
340,2286;16,33;372;15,3;404,9933;14,42
340,0762;16,36;372;15,31;404,607;14,49
340,0556;16,37;372;15,34;404,4517;14,51
340,0126;16,38;372;15,36;404,4118;14,52
339,9327;16,4;371,9971;15,34;404,3466;14,53
339,7992;16,43;371,8815;15,36;404,1875;14,56
339,6425;16,47;371,8332;15,37;404,1875;38,94
338,8226;16,64;371,7494;15,39;404,1637;14,56
338,7897;16,65;371,5664;15,43;404,1155;9,13
338,7728;16,66;371,5198;15,44;404,0867;14,57
338,7106;16,67;371,3367;15,48;403,4603;14,69
338;16,92;371,3307;15,48;403,3375;14,71
337,9793;16,83;371,1838;15,51;403,1876;14,73
337,9577;16,84;371,1301;15,52;403,0952;14,75
337,9382;16,84;371,1233;15,52;403,0884;14,75
337,9246;16,85;370,9775;15,55;403,0808;14,75
337,5894;16,93;370,8666;15,58;402,824;14,79
337,5805;16,93;370,7311;15,61;402,5319;14,85
337,5498;16,94;370,7207;15,61;402,3817;14,87
337,4255;16,96;370,6953;15,62;402,3174;14,89
337,3635;16,97;370,6411;15,63;402,2358;14,9
337,3177;16,99;370,5085;15,66;402,1888;14,91
336,7926;17,11;370,3114;15,7;402,1633;14,92
336,7258;17,12;370,3002;15,71;402,1622;14,92
336,6238;17,15;370,2317;15,72;402,0879;14,93
336,4768;17,18;370,2184;15,72;401,935;14,95
336,3739;17,2;370,0038;15,77;401,8509;14,97
336,2007;17,25;370;15,82;401,7624;14,98
336,1056;17,27;369,8824;15,8;401,7582;14,99
336,0973;17,27;369,7893;15,82;401,7518;14,99
336,0595;17,28;369,6852;15,84;401,6129;15,01
336,0351;17,28;369,5242;15,88;401,4453;15,04
336,0218;17,29;369,4825;15,88;401,4176;15,05
336;17,23;369,3996;15,9;401,2631;15,08
335,8134;17,34;369,3783;15,91;401,1972;15,09
335,7575;17,35;369,1987;15,95;401,0411;15,12
335,6433;17,38;369,0011;15,99;401,013;15,12
335,5589;17,39;368,8044;16,03;400,9707;15,13
335,2548;17,47;368,7693;16,04;400,7606;15,17
335,1163;17,5;368,7399;16,05;400,74;15,17
335,0356;17,52;368,6612;16,07;400,5368;15,21
335;17,53;368,6482;16,07;400,4795;15,22
334,9054;17,55;368,4793;16,1;400,4387;15,23
334,8147;17,57;368,4221;16,11;400,2395;15,27
334,7795;17,58;368,3474;16,13;400,0935;15,29
334,7771;17,58;368,2136;16,16;399,8247;15,34
334,7309;17,59;368,0886;16,19;399,7531;15,35
334,7017;17,6;368,0441;16,2;399,6839;15,37
334,4679;17,66;368;16,29;399,6661;15,37
334,3602;17,68;367,6709;16,28;399,6459;15,37
334,1726;17,73;367,5949;16,3;399,6364;15,38
334;17,66;367,5213;16,31;399,5198;15,4
334;17,84;367,3748;16,34;399,5172;15,4
333,7666;17,82;367,2298;16,38;399,4368;15,41
333,6719;17,84;367;16,43;399,3467;15,43
333,3267;17,93;366,7768;16,48;399,2224;15,46
333,1698;17,96;366,7335;16,49;399,2014;15,46
333,0221;18;366,7149;16,49;399,1258;15,47
333;17,99;366,5163;16,54;398,9278;15,51
332,9885;18;366,4697;16,55;398,7309;15,55
332,9363;18,02;366,3052;16,59;398,4358;15,6
332,7324;18,07;366,1139;16,63;398,3157;15,62
332,4761;18,13;366,0933;16,63;398,2989;15,63
332,4335;18,14;366,0071;16,65;398,2478;15,64
332,3252;18,16;366;16,61;398,1595;15,65
332,1323;18,21;365,9544;16,67;398,148;15,65
332,0155;18,23;365,6762;16,73;397,9083;15,7
331,6742;18,32;365,6577;16,73;397,89;12,7
331,6468;18,33;365,4627;16,78;397,7866;15,72
331,3048;18,41;365;16,96;397,7849;15,72
331,1225;18,45;364,9564;16,89;397,7378;15,73
331,0176;18,47;364,8198;16,92;397,4227;15,78
331;18,38;364,5859;16,97;397,4151;15,78
330,5737;18,58;364,2678;17,04;397,3675;15,79
330,4551;18,61;363,8988;17,13;397,288;15,81
330,4055;18,62;363,7127;17,17;397,2814;15,81
330,3492;18,64;363,5745;17,2;397,249;15,81
330,3485;18,64;363,4806;17,22;397,2332;15,82
330,1035;18,69;363,3813;17,25;397,1975;15,82
330;18,71;363,0032;17,33;397,1869;12,95
329,7842;18,77;363;17,36;397,0299;15,85
329,5228;18,84;363;17,43;396,7784;15,9
329,2799;18,9;362,8392;17,37;396,7587;15,91
329,2575;18,9;362,7983;17,38;396,4981;15,95
329,1917;18,92;362,7124;17,4;396,4344;12,91
329;18,94;362,4133;17,47;396,1606;16,01
328,9489;18,98;362,3843;17,48;395,669;16,11
328,8607;19;362,0636;17,55;395,6649;16,11
328,5811;19,07;361,9275;17,59;395,6471;16,11
328,5366;19,08;361,5662;17,67;395,3756;16,16
328,0948;19,19;361,2225;17,75;395,3615;16,16
327,9558;19,23;361,1452;17,77;395,3141;16,17
327,9178;19,24;361;17,89;395,2571;16,18
327,8247;19,26;360,9608;17,82;395,2214;16,19
327,5805;19,32;360,8058;17,85;395,0566;16,22
327,2423;19,41;360,5959;17,9;395,0223;16,23
327,1754;19,42;360,4337;17,94;395,0011;16,23
327,0285;19,46;360,2891;17,97;394,889;16,25
326,7896;19,52;360,2826;17,97;394,8335;16,26
326,6168;19,56;360,1383;18;394,7798;16,27
326,5524;19,58;360,1373;18;394,3421;16,35
326,5503;19,58;360,0538;18,03;394,1246;16,39
326,4082;19,62;360,0452;18,03;393,8997;16,43
326,3767;19,62;360,0165;18,04;393,6397;16,48
326,0196;19,72;359,9764;18,05;393,5458;16,5
325,8399;19,76;359,9375;18,05;393,4476;16,52
325,8324;19,77;359,8707;18,07;393,2684;16,55
325,5268;19,84;359,8416;18,08;393,0796;16,58
325,3853;19,88;359,6659;18,12;392,9588;16,61
325;19,86;359,4102;18,18;392,7925;16,64
325;19,94;359,4056;18,18;392,7784;16,64
325;20,04;359,1182;18,25;392,6738;16,66
324,9596;19,99;358,9887;18,28;392,3836;16,72
324,8836;20,01;358,8133;18,32;392,3229;16,73
324,8065;20,03;358,7716;18,33;392,2992;16,74
324,3969;20,13;358,4059;18,41;392,2299;16,75
324,3456;20,14;358,3696;18,42;392,2109;7,96
324,1476;20,19;358,3342;18,43;392,126;16,77
324,1378;20,19;358,2743;18,45;391,941;16,8
324,0794;20,21;358,2146;18,46;391,8504;16,82
324,0524;20,21;358,1899;18,47;391,785;16,83
324,0396;20,22;358,1767;18,47;391,781;16,83
324;20,32;358,1222;18,48;391,615;16,86
324;20,33;358,0857;18,49;391,551;16,87
323,9989;20,23;358,0522;18,5;391,5306;16,88
323,9605;20,24;358;18,47;391,3722;16,9
323,9463;20,24;357,9958;18,51;391,322;16,91
323,9187;20,25;357,8202;18,55;391,0885;16,96
323,7411;20,3;357,3216;18,67;391,0097;16,97
323,3711;20,39;357,2297;18,69;391,0091;16,97
323,2971;20,41;357,2022;18,7;390,9696;13,44
323,1615;20,44;357,1652;18,71;390,9051;16,9
323,0953;20,46;357,1636;18,71;390,848;17
323,0796;20,47;357,0289;18,74;390,6616;17,04
323,0723;20,47;356,9078;18,77;390,458;17,07
323;20,46;356,8781;18,78;390,4539;17,07
322,7789;20,54;356,8354;18,79;390,2201;17,12
322,6323;20,58;356,71;18,82;390,1285;17,14
322,5455;20,6;356,6611;18,83;389,727;17,21
322,5277;20,61;356,5009;18,87;389,6783;17,22
322,4846;20,62;356,47;18,88;389,5793;17,24
322,3135;20,67;356,4538;18,89;389,0977;17,34
322,0745;20,73;356,2131;18,94;388,8699;17,38
321,9534;20,76;356,1054;18,97;388,8457;17,39
321,8322;20,79;356,1023;18,97;388,7789;17,4
321,8026;20,79;356,0155;19;388,511;17,45
321,6829;20,83;356;18,94;388,3059;17,49
321,5495;20,86;355,9505;19,01;387,9963;17,56
321,5202;20,87;355,8951;19,02;387,7708;17,6
321,2046;20,96;355,8893;19,03;387,7494;17,6
321,1619;20,97;355,8752;19,03;387,7462;17,61
321,1144;20,98;355,5743;19,1;387,6436;17,63
321;20,89;355,4109;19,14;387,203;17,71
320,6944;21,09;355,2465;19,18;386,9446;17,76
320,6782;21,09;355,0751;19,22;386,7915;17,79
320,6535;21,1;354,6974;19,32;386,6112;12,7
320,6439;21,1;354,6363;19,33;386,5792;17,83
320,5601;21,12;354,0638;19,46;386,5553;17,84
320,3791;21,17;354,0037;19,48;386,0258;17,94
320,3543;21,18;353,9755;19,49;385,8777;17,97
320,2077;21,21;353,9456;19,49;385,8126;17,98
320,1167;21,24;353,8564;19,52;385,7899;17,98
319,8161;21,32;353,7436;19,54;385,7165;18
319,6983;21,35;353,4667;19,61;385,6905;18
319,6219;21,37;353,4613;19,61;385,659;18,01
319,5759;21,38;353,3091;19,64;385,5643;18,03
319,2496;21,47;353,2838;19,65;385,5363;18,04
319,0668;21,52;353,2014;19,67;385,5273;18,04
319;21,44;353,1268;19,69;385,5186;18,04
319;21,45;353,0708;19,71;385,482;18,05
319;21,55;353,0229;19,72;385,368;18,07
318,9412;21,55;352,8748;19,76;385,2699;18,09
318,8833;21,57;352,7944;19,78;385,2507;18,09
318,7125;21,62;352,6983;19,8;385,1848;18,11
318,6783;21,63;352,3021;19,9;385,0777;16,9
318,5327;21,67;352,2553;19,91;385,0454;18,13
318,3445;21,71;351,6155;20,06;384,948;18,15
318,0977;21,78;351,5436;20,08;384,8958;18,16
318,0376;21,8;351,5254;20,08;384,8481;18,17
318,02;21,8;351,4405;20,11;384,7922;18,18
318,0085;21,81;351,4238;20,11;384,5866;18,22
317,9661;21,82;351,1954;20,17;384,4924;18,24
317,8454;21,85;351,1218;20,19;384,339;18,27
317,7713;21,87;351,1167;20,19;384,1453;18,31
317,6625;21,9;351,1122;20,19;384,0302;18,34
317,5895;21,92;351,0819;20,2;383,9798;18,35
317,3821;21,97;351;20,18;383,5899;18,43
317,2578;22,01;350,9179;20,23;383,3213;18,48
317,0191;22,07;350,9032;20,24;382,8846;18,56
317;22,05;350,8439;20,25;382,7015;18,6
317;22,19;350,7672;20,27;382,673;18,61
316,6964;22,16;350,6681;20,29;382,6349;18,61
316,6747;22,16;350,6346;20,3;382,6156;18,61
316,6437;22,17;350,4238;20,36;382,5164;18,63
316,5476;22,2;350,4045;20,36;382,4783;18,64
316,3633;22,25;350,3383;20,38;382,3014;18,67
316,1098;22,32;350,3162;20,38;382,1572;18,7
316,0852;22,33;350,29;20,39;381,8575;18,77
315,8597;22,39;350,2731;20,39;381,7868;18,78
315,8435;22,39;350,1921;20,41;381,6523;18,81
315,5586;22,47;350,0481;20,45;381,5772;18,82
315,3663;22,53;350;20,46;381,519;18,84
315,3308;22,54;349,9411;20,47;381,4546;18,85
315,3258;22,54;349,8742;20,49;381,053;18,93
315,0879;22,61;349,8058;20,51;381,007;18,94
315,0014;22,64;349,7436;20,52;380,9229;18,96
315;22,56;349,5728;20,57;380,8326;18,97
315;22,76;349,5727;20,57;380,7322;18,99
314,9118;22,66;349,5283;20,58;380,4356;19,05
314,7053;22,72;349,4071;20,61;380,3708;19,07
314,6799;22,73;349,3542;20,62;380,3491;19,07
314,6259;22,74;349,3237;20,63;380,2902;19,08
314,5216;22,77;349,1257;20,68;380,1442;13,52
314,1428;22,88;349,0843;20,7;380,1342;19,12
314,1355;22,88;349,0626;20,7;379,6716;19,21
314,0093;22,91;349,0306;20,71;379,4904;19,25
313,9654;22,93;349;20,65;379,1451;19,32
313,7874;22,98;348,9921;20,72;379,1412;19,32
313,6761;23,01;348,9261;20,74;379,1017;19,32
313,4221;23,08;348,8571;20,75;379,088;19,33
313,3718;23,09;348,8402;20,76;379,0575;19,33
313,3383;23,1;348,5539;20,84;378,8479;19,38
313,0135;23,19;348,1466;20,94;378,7213;19,4
313;23,2;348,1388;20,94;378,6617;19,41
312,8785;23,23;348,0697;20,96;378,5325;19,44
312,8673;23,23;348;20,86;378,4585;19,45
312,8514;23,24;347,9172;21;378,4496;19,45
312,7905;23,26;347,8682;21,01;378,3146;19,48
312,4504;23,35;347,8213;21,02;378,2221;19,5
312,4339;23,36;347,7348;21,05;378,0916;19,52
312,3668;23,38;347,5245;21,1;378,0664;19,53
312,2484;23,41;347,3806;21,14;377,974;19,54
312,1858;23,43;347,3241;21,15;377,9335;4,56
312,1835;23,43;347,2452;21,18;377,8984;19,56
312,1767;23,43;347,1727;21,2;377,6776;19,6
312,1686;23,43;347,1002;21,21;377,539;19,63
311,9116;23,51;346,7341;21,31;377,2651;19,69
311,8653;23,53;346,6058;21,35;377,2556;19,69
311,8424;23,53;346,5465;21,36;377,1905;19,71
311,3898;23,67;346,3864;21,41;377,1787;19,71
311,3282;23,69;346,3047;21,43;377,1773;19,71
311,3111;23,69;346,1059;21,48;377,1237;19,72
311,0084;23,78;346,0927;21,48;377,0066;19,75
311;23,76;346,0911;21,48;376,9857;19,75
